matchTimestamp,type.primary,type.secondary,player.name,team.name,pass.recipient.name
01:10:37.367,pass,"['forward_pass', 'head_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",A. Pilgrim,Zürich,E. Pápai
01:10:42.457,pass,"['back_pass', 'short_or_medium_pass']",Marta Cazalla,Grasshopper,I. Rutishauser
01:10:47.382,pass,"['forward_pass', 'long_pass', 'pass_to_final_third', 'progressive_pass']",I. Rutishauser,Grasshopper,Marta Cazalla
01:10:49.908,pass,"['head_pass', 'lateral_pass', 'progressive_pass', 'short_or_medium_pass']",Marta Cazalla,Grasshopper,V. Laino
01:10:52.289,pass,"['lateral_pass', 'short_or_medium_pass', 'shot_assist']",V. Laino,Grasshopper,E. Ljustina
01:10:59.148,pass,['short_or_medium_pass'],S. Jackson,Grasshopper,E. Pápai
01:11:01.155,pass,"['lateral_pass', 'short_or_medium_pass']",E. Pápai,Grasshopper,J. Egli
01:11:25.279,pass,"['forward_pass', 'short_or_medium_pass']",N. Riesen,Zürich,O. Woś
01:11:27.729,pass,"['lateral_pass', 'linkup_play', 'long_pass', 'under_pressure']",O. Woś,Zürich,M. Höbinger
01:11:31.212,pass,['short_or_medium_pass'],M. Höbinger,Zürich,L. Vetterlein
01:11:34.015,pass,"['forward_pass', 'long_pass', 'pass_to_final_third', 'progressive_pass']",L. Vetterlein,Zürich,A. Pilgrim
01:11:42.566,pass,"['forward_pass', 'loss', 'short_or_medium_pass']",J. Egli,Grasshopper,N. Mégroz
01:11:44.871,pass,"['forward_pass', 'progressive_pass', 'recovery', 'short_or_medium_pass']",N. Mégroz,Zürich,O. Woś
01:11:51.330,pass,"['forward_pass', 'short_or_medium_pass']",O. Woś,Zürich,A. Pilgrim
01:11:53.202,pass,['short_or_medium_pass'],A. Pilgrim,Zürich,O. Woś
01:11:58.478,pass,"['forward_pass', 'short_or_medium_pass']",V. Laino,Grasshopper,E. Pápai
01:12:05.232,pass,"['forward_pass', 'progressive_pass', 'short_or_medium_pass']",E. Pápai,Grasshopper,Zhang Linyan
01:12:09.557,pass,"['lateral_pass', 'recovery', 'short_or_medium_pass']",J. Stierli,Zürich,N. Mégroz
01:12:14.592,pass,"['forward_pass', 'pass_to_final_third', 'progressive_pass', 'short_or_medium_pass']",N. Mégroz,Zürich,M. Höbinger
01:12:17.901,pass,"['forward_pass', 'short_or_medium_pass']",M. Höbinger,Zürich,A. Pilgrim
01:12:32.025,pass,"['forward_pass', 'long_pass', 'progressive_pass']",R. Rinast,Grasshopper,Zhang Linyan
01:12:47.576,pass,"['back_pass', 'short_or_medium_pass']",S. Piubel,Zürich,N. Mégroz
01:12:48.359,pass,"['lateral_pass', 'long_pass']",N. Mégroz,Zürich,O. Woś
01:12:51.609,pass,"['lateral_pass', 'short_or_medium_pass', 'under_pressure']",O. Woś,Zürich,M. Rey
01:12:56.221,pass,"['forward_pass', 'short_or_medium_pass']",M. Rey,Zürich,V. Pinther
01:13:00.063,pass,"['back_pass', 'recovery', 'short_or_medium_pass', 'under_pressure']",R. Rinast,Grasshopper,I. Rutishauser
01:13:03.245,pass,"['forward_pass', 'short_or_medium_pass']",I. Rutishauser,Grasshopper,V. Laino
01:13:10.118,pass,"['forward_pass', 'long_pass', 'progressive_pass']",V. Laino,Grasshopper,Zhang Linyan
01:13:15.285,pass,['short_or_medium_pass'],M. Höbinger,Zürich,M. Rey
01:13:19.870,pass,"['forward_pass', 'recovery', 'short_or_medium_pass']",E. Ljustina,Grasshopper,Zhang Linyan
01:14:16.335,pass,"['forward_pass', 'short_or_medium_pass']",E. Ljustina,Grasshopper,R. Rinast
01:14:17.805,pass,"['cross', 'cross_blocked']",R. Rinast,Grasshopper,
01:14:19.419,pass,"['cross', 'lateral_pass', 'pass_to_penalty_area']",R. Rinast,Grasshopper,S. Friedli
01:14:28.303,pass,"['hand_pass', 'lateral_pass', 'short_or_medium_pass']",S. Friedli,Zürich,
01:14:35.495,pass,"['back_pass', 'progressive_pass', 'short_or_medium_pass']",N. Mégroz,Zürich,
